,brand,model,screen_size,color,harddisk,cpu,ram,OS,cpu_speed,rating,price
645,Dell,Latitude,14.1 Inches,Black,300 GB,Core 2 Duo P8700,2 GB,Windows 7,,3.6,$84.54 
646,Gateway,,14 Inches,Black,64 GB,Celeron N4020,4 GB,"Windows 10 S, Windows 10",1.1 GHz,4.2,$169.99 
647,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
648,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
649,acer,PT14-51-78B4,14 Inches,Silver,512 GB,Intel Core i7,16 GB,Windows 11 Home,,2.5,"$1,049.99 "
650,ASUS,,14 Inches,Rose Gold,320 GB,Celeron N4020,4 GB,Windows 11,,4.3,$324.37 
651,Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Pro,,,"$2,929.35 "
652,Lenovo,ThinkPad P16s G1,16 Inches,,1 TB,Ryzen 5,32 GB,Windows 11 Pro,,,"$2,251.99 "
653,acer,AV14-51-58XZ,14 Inches,,512 GB,Core i5,16 GB,Windows 11 Home,4.4 GHz,4.8,$532.49 
654,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
655,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
656,Dell,i3493-3464BLK-PUS,14 Inches,Black,128 GB,Core i3-1005G1,4 GB,Windows 10,,4.3,$399.00 
657,Lenovo,Lenovo,11.6 Inches,Blizzard White,32 GB,,4 GB,Chrome OS,,4.4,$239.99 
658,Dell,Dell Inspiron,15.6 Inches,,2000 GB,Core i5,8 GB,Windows 10,3.4 GHz,3.5,$356.99 
659,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
660,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
661,HP,EliteBook 830 G9,13.3 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,863.52 "
662,Dell,Latitude 5000,14 Inches,Gray,512 GB,Core i5,16 GB,Windows 10 Pro,,5.0,"$2,312.24 "
663,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
664,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
665,Lenovo,,14 Inches,,512 GB,Intel Core i5,20 GB,Windows 11 Home,2.8 GHz,5.0,$499.99 
666,Dell,Latitude 5440,14 Inches,,1 TB,Core i7 Family,32 GB,Windows 11 Pro,,,"$1,670.17 "
667,Toughbook,CF-20,10.1 Inches,black/white,128 GB,core_m,8 GB,Windows 10 Pro,,4.5,$959.00 
668,Dell,Latitude 5000,14 Inches,Gray,256 GB,Core i5,16 GB,Windows 10 Pro,,5.0,$876.02 
669,Dell,Dell Latitude,15.6 Inches,Black,,,16 GB,Windows 10 Pro,2.9 GHz,3.4,"$1,588.99 "
670,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
671,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
672,Lenovo,ThinkPad L13 Gen 3,13.3 Inches,,256 GB,Ryzen 5,8 GB,Windows 11 Pro,,,$500.11 
673,Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Intel Core i7,64 GB,Windows 10 Pro,,,"$2,319.00 "
674,Dell,Precision 5000,17 Inches,Titan Gray,512 GB,Core i7,32 GB,Windows 10 Pro,,,"$2,701.64 "
675,acer,,,,,,4 GB,"Windows 11 Pro, Windows",,,$341.45 
676,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
677,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
678,Dell,,11.6 Inches,,,Celeron,4 GB,Chrome OS,1.1 GHz,,$229.99 
679,acer,A515-44-R41B,15.6 Inches,Silver,256 GB,Ryzen 5 4500U,8 GB,Windows 10 Home,,4.5,$528.18 
680,Dell,XPS 9350,13.3 Inches,Machined Aluminum,256 GB,Core i7,8 GB,Windows 10,,3.8,$699.99 
681,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
682,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
683,Lenovo,ThinkBook 14 G4 IAP,14 Inches,,512 GB,Core i7,8 GB,Windows 11,,,"$1,019.00 "
684,acer,TravelMate P6 P614-52,14 Inches,Galaxy Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,,,"$1,347.59 "
685,ASUS,Asus ZenBook 13,13.3 Inches,Slate Grey,512 GB,Intel Core i5,8 GB,Windows 10 Home,,4.4,"$1,099.00 "
686,ASUS,Vivobook 14X,14 Inches,Indie Black,512 GB,Core i5,8 GB,Windows 11 Home,,5.0,$819.99 
687,Microsoft,Surface Laptop Go 2,12.4 Inches,Sage,256 GB,Intel Core i5-1135G7,8 GB,Windows 10 S,,,
688,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
689,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
690,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
691,Lenovo,,15.6 Inches,,,,8 GB,,,4.8,$690.00 
692,Dell,Latitude 5530,15.6 Inches,,512 GB,Core i7 Family,32 GB,Windows 11 Pro,4.7 GHz,,"$1,488.95 "
693,LG,16Z90Q-K.AAS6U1,16 Inches,Gray,512 GB,Core i5,16 GB,Windows 11 Home,,4.1,$900.90 
694,HP,Chromebook,14 Inches,Snow White,32 GB,Celeron,4 GB,Chrome OS,,4.4,$297.00 
695,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
696,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
697,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
698,Lenovo,ThinkPad X1 Carbon Gen 10,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11,,2.0,"$1,637.24 "
699,acer,CB5-132T-C67Q,11.6 Inches,Blue,,8032,4 GB,Chrome OS,,4.4,$269.00 
700,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
701,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
702,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
703,Dell,Latitude 7000,14 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 10 Pro,,,$917.24 
704,Panasonic,CF-54,14 Inches,Silver/Black,256 GB,Core i5,8 GB,Windows 10,,3.8,$700.00 
705,ASUS,ASUS Chromebook CX1,11.6 Inches,Transparent Silver,,Celeron,4 GB,Chrome OS,2.8 GHz,1.0,$198.00 
706,ASUS,ASUS VivoBook,17.3 Inches,Silver,1 TB,Intel Core i5,12 GB,Windows 11,,4.0,$519.00 
707,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
708,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
709,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
710,Dell,Latitude 5310 Multi-Touch 2-in-1,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,1.7 GHz,,"$2,199.00 "
711,HP,EliteBook 650 G9,15.6 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,,,$939.19 
712,Dell,Precision Workstation 5770,17 Inches,Silver,1 TB,Intel Core i9,32 GB,Windows 11 Pro,,,"$2,949.00 "
713,Lenovo,Lenovo Thinkpad,14 Inches,Black,,Core i7-8650U,16 GB,Windows 10 Pro,,4.3,"$1,599.00 "
714,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
715,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
716,Lenovo,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Ryzen 7,32 GB,Windows 11,,,"$2,148.82 "
717,MSI,,15.6 Inches,,,,64 GB,,3.5 GHz,5.0,"$1,289.99 "
718,Lenovo,IdeaPad 3 15ITL6,15.6 Inches,Arctic Gray,256 GB,Pentium,4 GB,Windows 10 Home,,5.0,$349.99 
719,HP,HP 14,14 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$599.99 
720,Microsoft,LQS-00038,13.5 Inches,Cobalt,,Core i5 8400T,8 GB,Windows 10 Home,1.3 GHz,4.4,$449.00 
721,Dell,DELL Latitude 5300,13.3 Inches,,512 GB,Core i5 8250U,16 GB,Windows 10 Pro,,4.2,
722,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
723,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
724,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
725,ASUS,VivoBook Pro 16X,16 Inches,Black,1 TB,Core i7,32 GB,Windows 11 Home,,3.3,"$1,445.82 "
726,LG,16Z90P-K.AAB9U1,16 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11,,4.5,"$1,546.84 "
727,Panasonic,CF-31 MK5,13.1 Inches,Silver/Black,480 GB,Core i5 5300U,8 GB,Windows 10,,5.0,$552.99 
728,Acer,,,,1 TB,,16 GB,Windows,,,"$1,249.98 "
729,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
730,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
731,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
732,Lenovo,ThinkPad E570,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Professional 64-bit,,3.5,$369.95 
733,Dell,Latitude,15.6 Inches,Black,2 TB,Core i7 Family,64 GB,Windows 11 Pro,,5.0,"$1,125.00 "
734,Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,1.0,$749.99 
735,Dell,7520,15.6 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Pro,,,$479.99 
736,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
737,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
738,ASUS,ASUS Vivobook 16 Laptop,16 Inches,Quiet Blue,512 GB,Ryzen 7 5800H,12 GB,Windows 11 Home,,,$629.00 
739,Dell,Dell Inspiron,13.3 Inches,Era Gray,256 GB,,8 GB,Windows 10 Home,,3.7,$598.99 
740,Lenovo,20VK0019US,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,,3.7,$849.00 
741,Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Dark Side of the Moon,512 GB,AMD Ryzen 7,12 GB,Windows 11 Home,,,"$1,486.99 "
742,Panasonic,Panasonic Toughbook,13.1 Inches,Silver/Black,1 TB,Core i5,16 GB,Windows 10,,4.2,$599.99 
743,Dell,G15 5521 Laptop,15.6 Inches,Black,1000 GB,Core i9,16 GB,Windows 10 Home,,,"$1,767.99 "
744,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
745,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
746,Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,,,$899.74 
747,Dell,Precision 7770,17 Inches,,512 GB,Intel Core i9,32 GB,Windows 11 Pro,,,"$3,345.99 "
748,Lenovo,Chromebook,14 Inches,Gray,32 MB,,4 GB,Chrome OS,,4.1,$289.00 
749,Dell,Latitude 7440,14 Inches,,512 GB,Intel Core i7,32 GB,Windows 11 Pro,,,"$1,535.99 "
750,Dell,Latitude Rugged 5430 Laptop,14 Inches,Silver,1000 GB,Core i5,16 GB,Windows 11 Pro,,5.0,"$1,499.99 "
751,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
752,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
753,HP,,11.6 Inches,,,Celeron,4 GB,Chrome OS,1.6 GHz,3.9,$154.89 
754,ASUS,ASUS VivoBook 17X,17.3 Inches,Blue,512 GB,Ryzen 7 5800H,8 GB,Windows 11 Home,,3.8,$743.66 
755,MSI,Summit E13FlipEvo A13MT-220US,13.4 Inches,Ink Black,1 TB,Core i7,32 GB,Windows 11 Pro,,,"$1,599.00 "
756,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
757,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
758,acer,A515-57G-58R7,15.6 Inches,Gray,512 GB,Intel Core i5,8 GB,Windows 11 Home,,4.2,$879.99 
759,Lenovo,,16 Inches,,,,16 GB,Windows 11 Pro,,,"$1,488.64 "
760,Dell,Latitude 9520 Laptop,15 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,,,$986.99 
761,Dell,Precision 5560,15.6 Inches,,1 TB,Intel Core i9,16 GB,Windows 10 Pro,2.6 GHz,4.2,"$2,499.99 "
762,SAMSUNG,XE350XBA-K05US,15.6 Inches,Silver,,Celeron N4000,4 GB,Windows 10,2.6,,$268.99 
763,acer,TMP614-51-G2-5442,14 Inches,Black,,Core i5,,Windows 10 Pro,4.4 GHz,4.1,"$1,026.99 "
764,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
765,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
766,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
767,Dell,Precision 7000,16 Inches,,1 TB,Core i9,64 GB,Windows 11 Pro,,,"$3,999.99 "
768,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
769,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
770,ASUS,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,32 GB,Windows 11 Home,,,"$2,249.00 "
771,ASUS,CR1100FKA-YZ182T-S,11.6 Inches,,32 GB,Celeron N,8 GB,Chrome OS,,,$444.99 
772,Panasonic,Panasonic Toughbook,15.4 Inches,Silver/Black,480 GB,Core i5,16 GB,Windows 10 Pro,,5.0,$606.89 
773,ASUS,Vi F5,15.6 Inches,Gray,128 GB,Intel Core i3,8 GB,Windows 11,,4.2,$370.23 
774,Apple,MacBook Pro,16 Inches,Silver,1 TB,Core i9 7960X,16 GB,Mac OS,,4.7,"$1,419.00 "
775,Dell,Precision 3000,14 Inches,,512 GB,Core i7,16 GB,Windows 10,,,"$1,910.62 "
776,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
777,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
778,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
779,Lenovo,ThinkCentre M90s Gen 3,,Black,,Core i7-10700T,16 GB,Windows 11,,,"$1,169.00 "
780,Lenovo,IdeaPad Slim 7 Pro 14IHU5,14 Inches,Slate Gray,512 GB,Core i5 Family,16 GB,Windows 11 Home,,4.3,$711.99 
781,ASUS,ASUS VivoBook,15.6 Inches,,128 GB,,4 GB,Windows 10 Home,,4.1,$319.00 
782,Panasonic,CF-52 MK5,15.4 Inches,grey/black,240 GB,Core i5,8 GB,Windows 10,,3.9,$450.00 
783,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
784,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
785,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
786,Lenovo,IdeaPad 3 Lenovo,15.6 Inches,Abyss Blue,512 GB,Core i5 Family,16 GB,Windows 11 Pro,,,$659.99 
787,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
788,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
789,Lenovo,Lenovo,15.6 Inches,Iron Grey,256 GB,Intel Core i5,12 GB,Windows 10,,4.4,$899.99 
790,MSI,Creator M16 B13VE-1251US,16 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,,,"$1,599.00 "
791,Lenovo,130-15AST,15.6 Inches,Black,128 GB,AMD A Series,4 GB,Windows 10 Home,,4.2,$399.99 
792,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
793,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
794,LG,16Z90R-N.APC5U1,16 Inches,Charcoal gray,512 GB,Core i5,8 GB,Windows 11 Pro,,,$978.99 
795,Dell,Latitude,15.6 Inches,,2 TB,Core i5,32 GB,Windows 10 Pro,,5.0,"$1,481.86 "
796,Dell,Inspiron,14 Inches,Silver,2 TB,Core i7 Family,64 GB,Windows 11 Home,,5.0,$993.23 
797,Dell,5300,13.3 Inches,Gray,256 GB,Core i7 Family,16 GB,Windows 10 Pro,,4.2,"$1,499.00 "
798,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
799,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
800,HP,ELITEBOOK 820G3,12.5 Inches,Black,500 GB,Core i7,8 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,,$248.98 
801,Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Core i7 Family,32 GB,Windows 11 Pro,,2.5,"$2,119.00 "
802,LG,15ZB90Q-V.ARS5U1,15 Inches,,512 GB,Core i5,8 GB,Windows 11 Home,3.3,,"$1,469.44 "
803,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
804,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
805,Dell,Alienware m15 R5 Ryzen Edition Laptop,15.6 Inches,Dark Side of the Moon,1000 GB,AMD Ryzen 7,32 GB,Windows 10 Home,,4.2,"$1,986.99 "
806,MSI,MSI Katana 15,15.6 Inches,Black,1 TB,Core i7,16 GB,Windows 11 Home,,4.4,"$1,349.49 "
807,Dell,Latitude 5000,14 Inches,Titan Gray,256 GB,Core i5,8 GB,Windows 10 Pro,,,$726.07 
808,MSI,CreatorPro M15 A11UIS-1292US,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,099.99 "
809,HP,HP Envy,14 Inches,,1 TB,Core i3,8 GB,Windows 10,,4.6,$587.99 
810,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
811,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
812,Dell,Dell Latitude,14 Inches,,320 GB,Core i3,2 GB,Windows 7 Home Premium,2.4 GHz,3.0,$99.99 
813,HP,14-fq0013dx,14 Inches,,,AMD A Series,4 GB,Windows 10 S,,4.3,$207.99 
814,Dell,Precision 3000,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11,,,"$1,910.11 "
815,HP,HP Laptop 15-dy2031nr,15.6 Inches,,,Core i3,8 GB,Windows 11,,5.0,$479.99 
816,acer,CP311-2H-C3KA,11.6 Inches,Silver,64 GB,Celeron N,4 GB,Chrome OS,,4.5,$316.39 
817,HP,056-01-4094,11.6 Inches,,32 GB,MediaTek MT8183,4 GB,Chrome OS,,4.2,$168.00 
818,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
819,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
820,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
821,Lenovo,ThinkBook 14s Yoga G2 IAP,14 Inches,,512 GB,Core i7,16 GB,Windows 11,,5.0,"$1,209.00 "
822,Dell,Dell XPS 17 9720,17 Inches,Platinum Silver,1 TB,Intel Core i9,32 GB,Windows 11 Pro,,,"$2,999.00 "
823,Dell,Latitude 7000,14 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 10 Pro,,,$798.00 
824,dell,XPS,13.4 Inches,Evo i7-1260P,1 TB,Core i7,16 GB,Windows 11,,,"$1,355.84 "
825,ASUS,,15.6 Inches,,256 GB,Core i3,8 GB,Windows 11 Home,3 GHz,,$499.99 
826,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
827,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
828,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
829,Toughbook,CF-54F9001KM,14 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro,,,"$1,195.00 "
830,Microsoft,Surface Laptop,15 Inches,Matte Black,512 GB,Ryzen 7,16 GB,Windows 10 Home,,4.1,"$1,299.00 "
831,Dell,M,15.6 Inches,Black,1 TB,AMD R Series,32 GB,Windows 11,,3.5,"$1,962.99 "
832,HP,HP ProBook,14 Inches,,320 GB,Core i5,4 GB,Windows 7 Professional,2.5 GHz,5.0,$124.00 
833,Panasonic,Panasonic Toughbook,12 Inches,SILVER BLACK,512,Intel Core i7,16 GB,Windows 10,,,"$1,773.99 "
834,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
835,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
836,Dell,Precision 7770,17.3 Inches,,512 GB,Intel Core i7,64 GB,Windows 11 Pro,4.8 GHz,,"$3,376.64 "
837,Dell,XPS 17 9700,17 Inches,Silver,1 TB,Core i9,32 GB,Windows 10 Home,,4.1,"$4,999.00 "
838,MSI,Modern 14 C13M-621US,14 Inches,Urban Silver,1 TB,Core i7,16 GB,Windows 11 Home,,5.0,$839.99 
839,Lenovo,ThinkPad P16 Gen 1,16 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 11 Pro,,4.5,"$1,499.00 "
840,acer,C732-C6WU,11.6 Inches,Grey,32 GB,Celeron N3350,4 GB,Chrome OS,,4.4,$334.99 
841,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
842,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
843,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
844,HP,16-f2013dx,16 Inches,,512 GB,Intel Core i7,16 GB,Windows 11 Home,,,"$1,400.00 "
845,Dell,Latitude 7000,16 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,599.99 "
846,Lenovo,ThinkPad E15 Gen 4,15.6 Inches,,512 GB,Ryzen 5,16 GB,Windows 11,,,$864.14 
847,Dell,XPS 17 9720,17 Inches,,2 TB,Intel Core i9,64 GB,Windows 11 Pro,4 GHz,5.0,"$3,399.99 "
848,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
849,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
850,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
851,Lenovo,300e Chromebook 2nd Gen,11.6 Inches,Black,,Celeron,8 GB,Chrome OS,,,$282.67 
852,Lenovo,Chromebook,11.6 Inches,Black,32 GB,A-Series,4 GB,Chrome OS,,4.2,$253.46 
853,Lenovo,ThinkBook 14 G4 IAP,14 Inches,,256 GB,Core i5,16 GB,Windows 11,,,$965.99 
854,Dell,G15 5521 Laptop,15.6 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,163.99 "
855,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
856,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
857,Lenovo,ThinkPad X1 Yoga Gen 7,14 Inches,,256 GB,Core i5,16 GB,Windows 11,,,"$1,152.45 "
858,Lenovo,Lenovo Flex 5 2 in 1,14 Inches,,256 GB,Ryzen 3 4300U,4 GB,Windows 10,,4.2,$468.00 
859,ASUS,ROG Strix Scar GL703GE,17.3 Inches,Black,1000 GB,Core i7,16 GB,Windows 10 Home,,4.3,"$1,699.00 "
860,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
861,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
862,Lenovo,ThinkPad P15s Gen 2,15.6 Inches,Black,1 TB,Core i7 Family,32 GB,Windows 10 Pro,,1.0,"$1,349.99 "
863,IVIEW,IVIEW MEGATRON 4G,14.1 Inches,Silver,64 GB,Intel Celeron D,4 GB,Windows 10 Pro,,3.1,$239.99 
864,MSI,CPROM15843,15.6 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11 Pro,,,"$1,246.47 "
865,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
866,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
867,Dell,Latitude 7420,14 Inches,,,Core i5,16 GB,Windows 10 Pro,,,$792.95 
868,HP,ZBOOK 17 G3,17.3 Inches,Black,1000 GB,Core i7,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,1.0,$474.98 
